height,calib_width
153,98
154,98
155,100
156,100
157,102
158,102
159,104
160,104
161,106
162,106
163,108
164,108
165,110
166,110
167,112
168,112
169,114
170,114
171,114
172,116
173,116
174,118
175,118
176,120
177,120
178,122
179,122
180,124
181,124
182,126
183,126
184,128
185,128
186,130
187,130
188,130
189,132
190,132
191,134
192,134
193,136
194,136
195,138
196,138
197,140
198,140
199,142
200,142
201,144
202,144
203,146
204,146
205,146
206,148
207,148
208,150
209,150
210,152
211,152
212,154
213,154
214,156
215,156
216,158
217,158
218,160
219,160
220,162
221,162
222,162
223,164
224,164
225,166
226,166
227,168
228,168
229,170
230,170
231,172
232,172
233,174
234,174
235,176
236,176
237,178
238,178
239,178
240,180
241,180
242,182
243,182
244,184
245,184
246,186
247,186
248,188
249,188
250,190
251,190
252,192
253,192
254,194
255,194
256,194
257,196
258,196
259,198
260,198
261,200
262,200
263,202
264,202
265,204
266,204
267,206
268,206
269,208
270,208
271,210
272,210
273,210
274,212
275,212
276,214
277,214
278,216
279,216
280,218
281,218
282,220
283,220
284,222
285,222
286,224
287,224
288,226
289,226
290,226
291,228
292,228
293,230
294,230
295,232
296,232
297,234
298,234
299,236
300,236
301,238
302,238
303,240
304,240
305,242
306,242
307,242
308,244
309,244
310,246
311,246
312,248
313,248
314,250
315,250
316,252
317,252
318,254
319,254
320,256
321,256
322,258
323,258
324,260
325,260
326,260
327,262
328,262
329,264
330,264
331,266
332,266
333,268
334,268
335,270
336,270
337,272
338,272
339,274
340,274
341,276
342,276
343,276
344,278
345,278
346,280
347,280
348,282
349,282
350,284
351,284
352,286
353,286
354,288
355,288
356,290
357,290
358,292
359,292
360,292
361,294
362,294
363,296
364,296
365,298
366,298
367,300
368,300
369,302
370,302
371,304
372,304
373,306
374,306
375,308
376,308
377,308
378,310
379,310
380,312
381,312
382,314
383,314
384,316
385,316
386,318
387,318
388,320
389,320
390,322
391,322
392,324
393,324
394,324
395,326
396,326
397,328
398,328
399,330
400,330
401,332
402,332
403,334
404,334
405,336
406,336
407,338
408,338
409,340
410,340
411,340
412,342
413,342
414,344
415,344
416,346
417,346
418,348
419,348
420,350
421,350
422,352
423,352
424,354
425,354
426,356
427,356
428,356
429,358
430,358
431,360
432,360
433,362
434,362
435,364
436,364
437,366
438,366
439,368
440,368
441,370
442,370
443,372
444,372
445,372
446,374
447,374
448,376
449,376
450,378
451,378
452,380
453,380
454,382
455,382
456,384
457,384
458,386
459,386
460,388
461,388
462,388
463,390
464,390
465,392
466,392
467,394
468,394
469,396
470,396
471,398
472,398
473,400
474,400
475,402
476,402
477,404
478,404
479,404
480,406
